device,variant,precision,size_mb
Legion,baseline,FP32,16.96
Legion,baseline,FP16,8.86
Legion,baseline,INT8,7.04
Legion,logitKD,FP32,16.98
Legion,logitKD,FP16,8.84
Legion,logitKD,INT8,7.04
Legion,featureKD,FP32,17.00
Legion,featureKD,FP16,8.89
Legion,featureKD,INT8,7.02
Legion,featureHardKD,FP32,17.09
Legion,featureHardKD,FP16,8.95
Legion,featureHardKD,INT8,7.05
Jetson,baseline,FP32,16.89
Jetson,baseline,FP16,9.31
Jetson,baseline,INT8,5.77
Jetson,logitKD,FP32,16.67
Jetson,logitKD,FP16,9.30
Jetson,logitKD,INT8,5.82
Jetson,featureKD,FP32,16.69
Jetson,featureKD,FP16,9.30
Jetson,featureKD,INT8,5.79
Jetson,featureHardKD,FP32,16.91
Jetson,featureHardKD,FP16,9.31
Jetson,featureHardKD,INT8,5.82
