device,variant,precision,ready_s,wall_s,activate_s,first_infer_s,import_s,peak_hostmem_mb_rss,legion_gpu_mem_delta_mb,jetson_tegrastats_ram_peak_mb
legion,baseline,fp32,0.1920,1.0383,0.1886,0.0033,0.5931,918.1,163.0,
legion,baseline,fp16,0.1786,1.0207,0.1757,0.0029,0.5920,913.2,163.0,
legion,baseline,int8,0.2000,1.0468,0.1959,0.0041,0.5936,925.4,265.0,
legion,logitKD,fp32,0.1917,1.0362,0.1883,0.0034,0.5923,918.3,371.0,
legion,logitKD,fp16,0.1816,1.0281,0.1787,0.0029,0.5946,913.0,289.0,
legion,logitKD,int8,0.2026,1.0518,0.1983,0.0043,0.5947,925.1,265.0,
legion,featureKD,fp32,0.1926,1.0382,0.1867,0.0050,0.5922,918.2,163.0,
legion,featureKD,fp16,0.1836,1.0289,0.1777,0.0031,0.5919,913.4,289.0,
legion,featureKD,int8,0.2000,1.0466,0.1950,0.0044,0.5912,924.9,265.0,
legion,featureHardKD,fp32,0.1953,1.0389,0.1909,0.0035,0.5939,918.6,163.0,
legion,featureHardKD,fp16,0.1824,1.0276,0.1795,0.0031,0.5935,914.2,291.0,
legion,featureHardKD,int8,0.2044,1.0509,0.2001,0.0043,0.5926,925.2,265.0,
jetson,baseline,fp32,0.2026,0.6514,0.1813,0.0210,0.2227,205.8,,905.0
jetson,baseline,fp16,0.2214,0.6739,0.1727,0.0497,0.2252,278.8,,994.0
jetson,baseline,int8,0.1783,0.6212,0.1659,0.0125,0.2219,188.2,,908.0
jetson,logitKD,fp32,0.2091,0.6576,0.1883,0.0212,0.2224,203.5,,942.0
jetson,logitKD,fp16,0.2196,0.6632,0.1783,0.0419,0.2227,278.8,,1018.0
jetson,logitKD,int8,0.1820,0.6261,0.1696,0.0124,0.2223,190.7,,936.0
jetson,featureKD,fp32,0.2027,0.6506,0.1819,0.0209,0.2234,205.6,,968.0
jetson,featureKD,fp16,0.2148,0.6598,0.1734,0.0414,0.2225,280.5,,1052.0
jetson,featureKD,int8,0.1835,0.6305,0.1710,0.0124,0.2236,188.5,,962.0
jetson,featureHardKD,fp32,0.2087,0.6644,0.1873,0.0213,0.2230,205.8,,994.0
jetson,featureHardKD,fp16,0.2135,0.6603,0.1724,0.0412,0.2227,278.7,,1072.0
jetson,featureHardKD,int8,0.1798,0.6247,0.1675,0.0123,0.2220,188.6,,984.0
