device,variant,precision,auroc_clean,auroc_sig2,auroc_sig4,aud,retention_pct
legion,baseline,fp16,0.7951,0.5979,0.5277,0.6161,66.4
legion,baseline,int8,0.7275,0.6072,0.5408,0.4302,74.3
legion,logitKD,fp16,0.8646,0.6772,0.4685,0.6936,54.2
legion,logitKD,int8,0.8299,0.7108,0.5332,0.5100,64.2
legion,featureKD,fp16,0.8581,0.8038,0.6775,0.2566,78.9
legion,featureKD,int8,0.7859,0.7571,0.6545,0.2002,83.3
jetson,baseline,fp16,0.7953,0.5977,0.5270,0.6188,66.3
jetson,baseline,int8,0.7386,0.6053,0.5561,0.4556,75.3
jetson,logitKD,fp16,0.8646,0.6772,0.4689,0.6935,54.2
jetson,logitKD,int8,0.8327,0.7027,0.5331,0.5184,64.0
jetson,featureKD,fp16,0.8580,0.8040,0.6777,0.2554,79.0
jetson,featureKD,int8,0.7931,0.7628,0.6599,0.2051,83.2
