device,precision,variant,ece_macro5,brier_macro5,ece_micro5,brier_micro5,n_images,n_predictions
jetson,fp32,baseline,0.12443634668986003,0.1633760664244413,0.08463965407294086,0.1633760664244413,234,1170
jetson,fp32,logitKD,0.08324638172530403,0.12920969178670258,0.06717142473357036,0.12920969178670258,234,1170
jetson,fp32,featureKD,0.08135549498873199,0.13147765897208688,0.06520711903332964,0.13147765897208688,234,1170
jetson,fp32,featureHardKD,0.1324290157208203,0.15313539099585283,0.1040577550426635,0.15313539099585283,234,1170
jetson,fp16,baseline,0.1229072669887135,0.16337725943160786,0.08364916077026954,0.16337725943160786,234,1170
jetson,fp16,logitKD,0.08390459021131516,0.12917489678424593,0.06777340968648914,0.1291748967842459,234,1170
jetson,fp16,featureKD,0.08118234214961975,0.13155759272116663,0.06533192871815056,0.13155759272116666,234,1170
jetson,fp16,featureHardKD,0.13251419892996297,0.15315610978990568,0.10508822139320718,0.1531561097899057,234,1170
jetson,int8,baseline,0.10744598902061456,0.17163074397900102,0.06089784875512124,0.17163074397900102,234,1170
jetson,int8,logitKD,0.11947015401166983,0.15057700484864125,0.07499779906187556,0.15057700484864128,234,1170
jetson,int8,featureKD,0.18610029156900879,0.18218935468139166,0.13334245345531365,0.18218935468139166,234,1170
jetson,int8,featureHardKD,0.10378793186038478,0.16368532225393123,0.09457124661112952,0.16368532225393123,234,1170
legion,fp32,baseline,0.12561680572664638,0.1634076783965311,0.08539984514061205,0.16340767839653111,234,1170
legion,fp32,logitKD,0.0828262422962162,0.12920433765914738,0.06647296485443335,0.12920433765914738,234,1170
legion,fp32,featureKD,0.08250342494943458,0.13147208243906544,0.0662337252424441,0.13147208243906544,234,1170
legion,fp32,featureHardKD,0.13240443911626298,0.15312572017817044,0.10503666197451263,0.15312572017817047,234,1170
legion,fp16,baseline,0.12405878039252045,0.16338543839384984,0.08437475876675711,0.1633854383938499,234,1170
legion,fp16,logitKD,0.08319448224372336,0.12915366713138832,0.06707810460884348,0.12915366713138832,234,1170
legion,fp16,featureKD,0.08165947623256371,0.13154779559978266,0.06638995364714316,0.1315477955997827,234,1170
legion,fp16,featureHardKD,0.13249562038347507,0.15317002825572973,0.10509774318904193,0.15317002825572976,234,1170
legion,int8,baseline,0.09903497875500947,0.17194238859725147,0.055907545780014785,0.1719423885972515,234,1170
legion,int8,logitKD,0.11511118296119902,0.15162743327880643,0.06671117143625888,0.15162743327880643,234,1170
legion,int8,featureKD,0.2062041333024828,0.19766807207354084,0.15798119601403543,0.19766807207354087,234,1170
legion,int8,featureHardKD,0.12845964529830164,0.16671122513828868,0.08052869428936234,0.1667112251382887,234,1170
