device,precision,variant,throughput_img_s,power_w,ppw_img_s_w,gpu_ms,e2e_ms,auroc_macro5
jetson,fp32,baseline,337.7,14.52,23.26,2.958,3.021,0.7954321290289562
legion,fp32,baseline,1048.7,69.95,14.99,0.966,0.972,0.7954285137527323
jetson,fp32,logitKD,338.3,14.22,23.79,2.953,3.017,0.8644060758135147
legion,fp32,logitKD,1068.7,69.9,15.29,0.936,0.942,0.8646259064529638
jetson,fp32,featureKD,338.5,14.19,23.86,2.951,3.016,0.8579341975032431
legion,fp32,featureKD,1038.9,69.96,14.85,0.965,0.972,0.8577307538906791
jetson,fp32,featureHardKD,338.6,14.18,23.88,2.95,3.013,0.8541790263451429
legion,fp32,featureHardKD,1024.6,69.93,14.65,0.978,0.985,0.854548892595483
jetson,fp16,baseline,470.7,11.0,42.8,2.12,2.18,0.795301612742627
legion,fp16,baseline,1858.4,69.56,26.72,0.545,0.551,0.7950970861224823
jetson,fp16,logitKD,467.3,10.69,43.73,2.136,2.196,0.8645869271587383
legion,fp16,logitKD,1820.8,69.43,26.22,0.552,0.558,0.8646171152384683
jetson,fp16,featureKD,474.6,10.66,44.51,2.103,2.165,0.8579575596156672
legion,fp16,featureKD,1830.4,69.47,26.35,0.548,0.553,0.8580892212378094
jetson,fp16,featureHardKD,470.0,10.79,43.57,2.123,2.183,0.8540295472426103
legion,fp16,featureHardKD,1827.0,69.52,26.28,0.556,0.561,0.854286367816032
jetson,int8,baseline,621.4,8.92,69.64,1.605,1.655,0.7386258445840113
legion,int8,baseline,1504.4,70.0,21.49,0.67,0.676,0.7275071197770524
jetson,int8,logitKD,617.3,8.82,70.02,1.616,1.669,0.8327072371604654
legion,int8,logitKD,1521.5,69.95,21.75,0.663,0.668,0.8298821788155506
jetson,int8,featureKD,615.8,8.79,70.05,1.62,1.67,0.7931465016421708
legion,int8,featureKD,1547.8,69.95,22.13,0.652,0.658,0.7858716493664921
jetson,int8,featureHardKD,617.1,8.82,69.97,1.617,1.67,0.7956489358015575
legion,int8,featureHardKD,1548.7,69.96,22.14,0.687,0.728,0.7883590494484991
