device,precision,bootstrap_level,model,comparison,metric,baseline_auc,model_auc,delta,ci_lo,ci_hi,p_value,P_delta_gt0
legion,fp16,image,logitKD,logitKD-baseline,Cardiomegaly,0.785037207654146,0.8104181431608788,0.025380935506732816,-0.03477531608447452,0.08552677608711622,0.4124,0.7938
legion,fp16,image,logitKD,logitKD-baseline,Edema,0.8473251028806584,0.8984126984126984,0.05108759553204001,0.021471194351986675,0.08418710700866501,0.0,1.0
legion,fp16,image,logitKD,logitKD-baseline,Consolidation,0.8070254786672697,0.9253731343283582,0.11834765566108851,0.0459989159843808,0.19801533179061095,0.0008,0.9996
legion,fp16,image,logitKD,logitKD-baseline,Atelectasis,0.6870941558441559,0.7697646103896104,0.08267045454545452,0.02392439778729293,0.1435701769378142,0.0048,0.9976
legion,fp16,image,logitKD,logitKD-baseline,Pleural Effusion,0.8490034855661811,0.9191169899007954,0.07011350433461427,0.03918226538229808,0.1033900671125339,0.0,1.0
legion,fp16,image,logitKD,logitKD-baseline,MACRO(5),0.7950970861224823,0.8646171152384682,0.06952002911598587,0.046085284268069036,0.09337249776930277,0.0,1.0
legion,fp16,image,logitKD,logitKD-baseline,MACRO(14),0.6630211351758267,0.767546097623518,0.10452496244769127,0.05112090266887305,0.13230590418733237,0.0,1.0
legion,fp16,image,featureKD,featureKD-baseline,Cardiomegaly,0.785037207654146,0.8122342310418144,0.027197023387668384,-0.036326992753623166,0.09066996786488972,0.3934,0.8033
legion,fp16,image,featureKD,featureKD-baseline,Edema,0.8473251028806584,0.8946502057613168,0.04732510288065839,0.018759798041829822,0.07820668136526057,0.0002,0.9999
legion,fp16,image,featureKD,featureKD-baseline,Consolidation,0.8070254786672697,0.8915272124227348,0.0845017337554651,0.013522489543783423,0.1645028378915738,0.016,0.992
legion,fp16,image,featureKD,featureKD-baseline,Atelectasis,0.6870941558441559,0.7858766233766233,0.09878246753246744,0.035564859343002346,0.16361800570561208,0.0022,0.9989
legion,fp16,image,featureKD,featureKD-baseline,Pleural Effusion,0.8490034855661811,0.9061578335865582,0.05715434802037711,0.025247145641882483,0.0908367546292073,0.0008,0.9996
legion,fp16,image,featureKD,featureKD-baseline,MACRO(5),0.7950970861224823,0.8580892212378094,0.06299213511532709,0.03962776173524772,0.08757226279921584,0.0,1.0
legion,fp16,image,featureKD,featureKD-baseline,MACRO(14),0.6630211351758267,0.7653649604347391,0.10234382525891239,0.04960596139848946,0.12935472359442055,0.0,1.0
legion,fp16,image,featureHardKD,featureHardKD-baseline,Cardiomegaly,0.785037207654146,0.7861002834868888,0.001063075832742788,-0.06325463745656051,0.06624811504652618,0.9816,0.5092
legion,fp16,image,featureHardKD,featureHardKD-baseline,Edema,0.8473251028806584,0.9065255731922398,0.05920047031158138,0.025985478027115417,0.09475692692361215,0.0002,0.9999
legion,fp16,image,featureHardKD,featureHardKD-baseline,Consolidation,0.8070254786672697,0.9096939544700738,0.10266847580280414,0.03675450762829402,0.17544315854482492,0.0014,0.9993
legion,fp16,image,featureHardKD,featureHardKD-baseline,Atelectasis,0.6870941558441559,0.7633116883116883,0.07621753246753238,0.01583729171402361,0.13911140456986354,0.0118,0.9941
legion,fp16,image,featureHardKD,featureHardKD-baseline,Pleural Effusion,0.8490034855661811,0.905800339619269,0.056796854053087875,0.023817326968930526,0.09171916960158488,0.0004,0.9998
legion,fp16,image,featureHardKD,featureHardKD-baseline,MACRO(5),0.7950970861224823,0.854286367816032,0.059189281693549645,0.03519769829652554,0.08449421815504327,0.0,1.0
legion,fp16,image,featureHardKD,featureHardKD-baseline,MACRO(14),0.6630211351758267,0.7744808511756743,0.11145971599984761,0.0538290393099222,0.13349294046952742,0.0,1.0
