device,precision,level,variant,pathology,auroc,ci_lo,ci_hi,n_pos,n_neg
jetson,fp16,image,baseline,Cardiomegaly,0.7861002834868888,0.7160722845910894,0.8503220885069613,68,166
jetson,fp16,image,baseline,Edema,0.8469723691945914,0.7817141728955087,0.9040774055693411,45,189
jetson,fp16,image,baseline,Consolidation,0.8072516206844566,0.7270489639610668,0.8775129342554749,33,201
jetson,fp16,image,baseline,Atelectasis,0.6862418831168832,0.6154352832936185,0.7530424667307826,80,154
jetson,fp16,image,baseline,Pleural Effusion,0.8499419072303155,0.7933665918072845,0.901362076478217,67,167
jetson,fp16,image,logitKD,Cardiomegaly,0.8105953224663359,0.746029601029601,0.8687102989654101,68,166
jetson,fp16,image,logitKD,Edema,0.8980599647266314,0.8422826086956522,0.9448671987734487,45,189
jetson,fp16,image,logitKD,Consolidation,0.9253731343283582,0.8873344882355029,0.9577040358505728,33,201
jetson,fp16,image,logitKD,Atelectasis,0.7695211038961038,0.7081862790855308,0.8275764231002836,80,154
jetson,fp16,image,logitKD,Pleural Effusion,0.9193851103762624,0.8814478566168585,0.9519968719109487,67,167
jetson,fp16,image,featureKD,Cardiomegaly,0.8118355776045358,0.7499984490032261,0.8675453517160947,68,166
jetson,fp16,image,featureKD,Edema,0.8943562610229276,0.8408686379410064,0.9386348941828802,45,189
jetson,fp16,image,featureKD,Consolidation,0.8910749283883612,0.8437893709619526,0.9315255093265375,33,201
jetson,fp16,image,featureKD,Atelectasis,0.7868100649350649,0.7267441152597403,0.8430958481595987,80,154
jetson,fp16,image,featureKD,Pleural Effusion,0.9057109661274466,0.8631840325041904,0.9431715235813255,67,167
jetson,fp16,image,featureHardKD,Cardiomegaly,0.786144578313253,0.7199983108108108,0.8478952335066525,68,166
jetson,fp16,image,featureHardKD,Edema,0.906114050558495,0.8600587838214742,0.9460386174272907,45,189
jetson,fp16,image,featureHardKD,Consolidation,0.9087893864013267,0.8629450479685895,0.9480403165753435,33,201
jetson,fp16,image,featureHardKD,Atelectasis,0.7634334415584415,0.7016642217801708,0.8253076940181348,80,154
jetson,fp16,image,featureHardKD,Pleural Effusion,0.9056662793815354,0.8615639974865238,0.9447988075169962,67,167
